City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Martapura,ID,2021-02-05 17:37:10,-3.4167,114.85,73.4,100,75,2.3
271,Tres Arroyos,AR,2021-02-05 17:37:10,-38.3739,-60.2798,94.42,15,0,1.86
272,Maraa,BR,2021-02-05 17:37:11,-1.8333,-65.3667,83.16,88,100,3.47
273,Kaitangata,NZ,2021-02-05 17:37:11,-46.2817,169.8464,51.01,83,97,3.0
274,Fairview,US,2021-02-05 17:37:11,40.8126,-73.999,42.8,70,90,8.39
275,Tuy Hoa,VN,2021-02-05 17:37:11,13.0833,109.3,69.78,89,94,5.93
276,Inta,RU,2021-02-05 17:37:11,66.0317,60.1659,-3.64,92,100,8.97
277,Erenhot,CN,2021-02-05 17:37:11,43.6475,111.9767,16.84,91,24,11.3
278,Andilamena,MG,2021-02-05 17:37:11,-17.0167,48.5833,66.56,96,40,5.17
279,Zhezkazgan,KZ,2021-02-05 17:37:11,47.8043,67.7144,20.7,97,18,4.32
280,Portland,US,2021-02-05 17:33:03,45.5234,-122.6762,46.4,87,75,11.5
281,Dingle,PH,2021-02-05 17:37:11,10.9995,122.6711,74.97,90,97,6.73
282,Pasighat,IN,2021-02-05 17:37:12,28.0667,95.3333,63.16,30,34,4.74
283,Paralimni,CY,2021-02-05 17:37:12,35.0375,33.9833,59.0,77,0,3.44
284,Mogadishu,SO,2021-02-05 17:37:12,2.0371,45.3438,77.25,80,0,20.0
285,Broken Hill,AU,2021-02-05 17:37:12,-31.95,141.4333,66.2,48,0,12.66
286,Korla,CN,2021-02-05 17:37:12,41.7597,86.1469,27.66,83,52,3.4
287,Bayan,CN,2021-02-05 17:37:12,46.0833,127.4,-1.75,92,100,3.69
288,Sao Filipe,CV,2021-02-05 17:37:12,14.8961,-24.4956,71.6,72,100,14.47
289,Trail,CA,2021-02-05 17:37:12,49.0998,-117.7022,34.0,74,61,1.01
290,Glyadyanskoye,RU,2021-02-05 17:37:12,54.9075,65.0883,34.14,97,100,10.27
291,Tucumcari,US,2021-02-05 17:37:13,35.1717,-103.725,44.6,33,1,3.44
